assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000220415.1	Mycobacterium tuberculosis S96-129	Chromosome	2011-07-12	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/415/GCA_000220415.1_ASM22041v1/
GCA_000220435.1	Mycobacterium tuberculosis BTB05-552	Chromosome	2011-07-12	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/435/GCA_000220435.1_ASM22043v1/
GCA_000220455.1	Mycobacterium tuberculosis BTB05-559	Chromosome	2011-07-12	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/455/GCA_000220455.1_ASM22045v1/
GCA_000224435.1	Mycobacterium tuberculosis CTRI-2	Complete Genome	2011-08-25	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/435/GCA_000224435.1_ASM22443v1/
GCA_000234725.1	Mycobacterium tuberculosis variant bovis BCG str. Mexico	Complete Genome	2011-11-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/725/GCA_000234725.1_ASM23472v1/
GCA_000240245.2	Mycobacterium tuberculosis OSDD071	Contig	2011-12-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/245/GCA_000240245.2_MycTub_OSDD071/
GCA_000240265.2	Mycobacterium tuberculosis OSDD504	Contig	2011-12-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/265/GCA_000240265.2_MycTub_OSDD504/
GCA_000240285.2	Mycobacterium tuberculosis OSDD518	Contig	2011-12-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/285/GCA_000240285.2_MycTub_OSDD518/
GCA_000253355.1	Mycobacterium tuberculosis variant africanum GM041182	Complete Genome	2011-07-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/355/GCA_000253355.1_ASM25335v1/
GCA_000256525.1	Mycobacterium tuberculosis CTRI-4	Contig	2012-03-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/525/GCA_000256525.1_ASM25652v1/
GCA_000263135.1	Mycobacterium tuberculosis H37RvCO	Chromosome	2012-06-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/135/GCA_000263135.1_H37RvCO4/
GCA_000270345.1	Mycobacterium tuberculosis CCDC5079	Complete Genome	2011-07-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/345/GCA_000270345.1_ASM27034v1/
GCA_000270365.1	Mycobacterium tuberculosis CCDC5180	Complete Genome	2011-07-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/365/GCA_000270365.1_ASM27036v1/
GCA_000277085.1	Mycobacterium tuberculosis RGTB327	Complete Genome	2012-03-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/085/GCA_000277085.1_ASM27708v1/
GCA_000277105.1	Mycobacterium tuberculosis RGTB423	Complete Genome	2012-03-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/105/GCA_000277105.1_ASM27710v1/
GCA_000277735.2	Mycobacterium tuberculosis H37Rv	Complete Genome	2013-11-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/735/GCA_000277735.2_ASM27773v2/
GCA_000291765.1	Mycobacterium tuberculosis NCGM2209	Scaffold	2011-11-25	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/291/765/GCA_000291765.1_ASM29176v1/
GCA_000296155.1	Mycobacterium tuberculosis NA-A0009	Contig	2012-09-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/155/GCA_000296155.1_MycTubNAA0009_1.0/
GCA_000296175.1	Mycobacterium tuberculosis NA-A0008	Contig	2012-09-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/175/GCA_000296175.1_MycTubNAA0008_1.0/
