accession	domain	phylum	class	order	family	genus	species
GB_GCA_018813975.1	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	JAGVWC01	JAHJAQ01	JAHJAQ01 sp018813975
GB_GCA_019323575.1	Archaea	Nanobdellota	Nanobdellia	Woesearchaeales	ARS49	CABMGU01	CABMGU01 sp019323575
GB_GCA_020833345.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Ignisphaeraceae	Ignisphaera	Ignisphaera sp020833345
RS_GCF_009898475.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrosopolaris	Nitrosopolaris sp009898475
GB_GCA_013288545.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotalea	Nitrosotalea sp013288545
GB_GCA_014727975.1	Archaea	Micrarchaeota	Micrarchaeia	Anstonellales	Bilamarchaeaceae	CAIKOA01	CAIKOA01 sp014727975
GB_GCA_025058955.1	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	WYZ-LMO2	WYZ-LMO2 sp025058955
GB_GCA_019058135.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigynarchaeales	SOKP01	6H3-1	6H3-1 sp019058135
GB_GCA_030044475.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	UBA184	UBA184 sp030044475
GB_GCA_019685575.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	SOJC01	JABFQO01	JABFQO01 sp019685575
GB_GCA_030043255.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	UBA184	UBA184 sp030043255
GB_GCA_018302505.1	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	ARS1403	JAGVZL01	JAGVZL01 sp018302505
GB_GCA_038878695.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Fervidicoccaceae	JAVZVD01	JAVZVD01 sp038878695
GB_GCA_018302465.1	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	GW2011-AR20	JAGVZJ01	JAGVZJ01 sp018302465
GB_GCA_023131705.1	Archaea	Nanobdellota	Nanobdellia	Woesearchaeales	B3-WOES	JAGLZG01	JAGLZG01 sp023131705
GB_GCA_014859835.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA10834	UBA10834	UBA9653	UBA9653 sp014859835
GB_GCA_025058225.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Calditenuaceae	Calditenuis	Calditenuis sp025058225
GB_GCA_027365565.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	JAMCYG01	JAMCYG01 sp027365565
GB_GCA_018698915.1	Archaea	Nanobdellota	Nanobdellia	UBA10117	ARS21	JAAZWY01	JAAZWY01 sp018698915
GB_GCA_022749995.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	JAKIVR01	JAKIVR01 sp022749995
GB_GCA_937892665.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-L2	MGIIa-L2 sp937892665
RS_GCF_000956175.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus adriaticus
GB_GCA_003650975.1	Archaea	Thermoplasmatota	E2	UBA202	JdFR-43	B78-G9	B78-G9 sp003650975
RS_GCF_000226975.2	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halobiforma	Halobiforma lacisalsi
