BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN46705729	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705730	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705731	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705732	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705733	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705734	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705735	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705736	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705737	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705738	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705739	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705740	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705741	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705742	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705743	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705744	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705745	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705746	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705747	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705748	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705749	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705750	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705751	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705752	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705753	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705754	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705755	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705756	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705757	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705758	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705759	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705760	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705761	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705762	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705763	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705764	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705765	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705766	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705767	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705768	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705769	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705770	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705771	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705772	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705773	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705774	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705775	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705776	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705777	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705778	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705779	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705780	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705781	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705782	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705783	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705784	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705785	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705786	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705787	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705788	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705789	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705790	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705791	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
